Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,17,0,Some Random Commen with Id 0
1,1,2,51,7,Some Random Commen with Id 1
2,1,2,157,3,Some Random Commen with Id 2
3,1,2,178,7,Some Random Commen with Id 3
4,1,2,95,0,Some Random Commen with Id 4
5,1,2,199,5,Some Random Commen with Id 5
6,1,2,134,6,Some Random Commen with Id 6
7,2,4,64,0,Some Random Commen with Id 7
8,2,4,149,6,Some Random Commen with Id 8
9,2,4,55,7,Some Random Commen with Id 9
10,2,4,101,8,Some Random Commen with Id 10
11,2,4,160,8,Some Random Commen with Id 11
12,2,4,13,2,Some Random Commen with Id 12
13,2,4,36,2,Some Random Commen with Id 13
14,3,4,156,4,Some Random Commen with Id 14
15,3,4,115,3,Some Random Commen with Id 15
16,3,4,153,4,Some Random Commen with Id 16
17,3,4,79,5,Some Random Commen with Id 17
18,3,4,1,6,Some Random Commen with Id 18
19,3,4,137,2,Some Random Commen with Id 19
20,3,4,62,5,Some Random Commen with Id 20
21,3,4,110,0,Some Random Commen with Id 21
22,3,4,128,2,Some Random Commen with Id 22
23,5,1,78,2,Some Random Commen with Id 23
24,5,1,99,7,Some Random Commen with Id 24
25,5,1,7,0,Some Random Commen with Id 25
26,5,1,3,1,Some Random Commen with Id 26
27,5,1,198,2,Some Random Commen with Id 27
28,5,1,54,2,Some Random Commen with Id 28
29,5,1,178,1,Some Random Commen with Id 29
30,5,1,37,9,Some Random Commen with Id 30
31,6,3,126,9,Some Random Commen with Id 31
32,6,3,148,6,Some Random Commen with Id 32
33,6,3,5,1,Some Random Commen with Id 33
34,6,3,165,0,Some Random Commen with Id 34
35,6,3,5,2,Some Random Commen with Id 35
36,6,3,156,8,Some Random Commen with Id 36
37,6,3,63,8,Some Random Commen with Id 37
38,6,3,137,7,Some Random Commen with Id 38
39,7,3,27,0,Some Random Commen with Id 39
40,7,3,37,4,Some Random Commen with Id 40
41,7,3,112,2,Some Random Commen with Id 41
42,7,3,102,7,Some Random Commen with Id 42
43,7,3,92,1,Some Random Commen with Id 43
44,7,3,179,2,Some Random Commen with Id 44
45,7,3,190,2,Some Random Commen with Id 45
46,7,3,179,1,Some Random Commen with Id 46
47,9,7,122,4,Some Random Commen with Id 47
48,9,7,113,8,Some Random Commen with Id 48
49,9,7,126,4,Some Random Commen with Id 49
50,10,2,18,6,Some Random Commen with Id 50
51,10,2,21,4,Some Random Commen with Id 51
52,10,2,182,0,Some Random Commen with Id 52
53,10,2,147,0,Some Random Commen with Id 53
54,10,2,144,3,Some Random Commen with Id 54
55,10,2,32,5,Some Random Commen with Id 55
56,11,2,144,5,Some Random Commen with Id 56
57,11,2,32,8,Some Random Commen with Id 57
58,11,2,82,7,Some Random Commen with Id 58
59,11,2,67,0,Some Random Commen with Id 59
60,11,2,164,5,Some Random Commen with Id 60
61,11,2,191,2,Some Random Commen with Id 61
62,12,3,65,9,Some Random Commen with Id 62
63,12,3,42,8,Some Random Commen with Id 63
64,12,3,141,1,Some Random Commen with Id 64
65,12,3,35,4,Some Random Commen with Id 65
66,12,3,84,2,Some Random Commen with Id 66
67,12,3,124,8,Some Random Commen with Id 67
68,13,1,49,9,Some Random Commen with Id 68
69,13,1,164,0,Some Random Commen with Id 69
70,13,1,104,1,Some Random Commen with Id 70
71,14,3,9,0,Some Random Commen with Id 71
72,14,3,7,5,Some Random Commen with Id 72
73,14,3,155,6,Some Random Commen with Id 73
74,15,9,164,2,Some Random Commen with Id 74
75,15,9,106,3,Some Random Commen with Id 75
76,15,9,9,3,Some Random Commen with Id 76
77,15,9,166,3,Some Random Commen with Id 77
78,15,9,107,6,Some Random Commen with Id 78
79,15,9,0,4,Some Random Commen with Id 79
80,15,9,139,4,Some Random Commen with Id 80
81,15,9,165,3,Some Random Commen with Id 81
82,16,0,9,2,Some Random Commen with Id 82
83,16,0,22,9,Some Random Commen with Id 83
84,17,9,171,2,Some Random Commen with Id 84
